Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Madagascar,Africa,66746,241.038,40,0.144,0,1411,5.096,0,0,0
Sudan,Eastern Mediterranean,63481,144.771,35,0.08,0,4972,11.339,6,0.014,0
Mauritania,Africa,63349,1362.444,69,1.484,0,997,21.442,0,0,0
Cabo Verde,Africa,62397,11222.744,0,0,0,410,73.743,0,0,0
Bhutan,South-East Asia,62380,8084.416,49,6.35,49,21,2.722,0,0,0
Jersey,Europe,61656,57196.928,267,247.69,0,141,130.803,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57359,327.753,11,0.063,1,3163,18.074,0,0,0
Burundi,Africa,50470,424.446,0,0,0,15,0.126,0,0,0
Guam,Western Pacific,49036,29054.066,0,0,0,401,237.594,0,0,0
Seychelles,Africa,49035,49859.172,0,0,0,171,173.874,0,0,0
Gabon,Africa,48945,2199.05,31,1.393,0,306,13.748,0,0,0
Andorra,Europe,46535,60227.787,86,111.305,0,155,200.608,0,0,0
Curaçao,Americas,45467,27708.068,33,20.111,0,290,176.729,1,0.609,0
Papua New Guinea,Western Pacific,45465,508.158,100,1.118,0,668,7.466,0,0,0
Aruba,Americas,43334,40587.828,43,40.275,0,232,217.298,0,0,0
Mayotte,Africa,40320,14779.246,0,0,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,39920,66.829,0,0,0,845,1.415,0,0,0
Togo,Africa,39298,474.687,12,0.145,0,290,3.503,1,0.012,0
Guinea,Africa,38047,289.71,0,0,0,456,3.472,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,37369,9502.751,5,1.271,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33811,296.522,0,0,0,857,7.516,0,0,0
Mali,Africa,32731,161.628,15,0.074,0,742,3.664,0,0,0
Guernsey,Europe,32324,50139.604,206,319.538,0,64,99.274,1,1.551,0
Cayman Islands,Americas,31006,47178.941,80,121.729,0,34,51.735,0,0,0
Saint Lucia,Americas,29639,16140.873,3,1.634,0,407,221.645,1,0.545,0
Benin,Africa,27782,229.164,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27237,171.375,12,0.076,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
United States Virgin Islands,Americas,23311,22323.198,28,26.814,0,124,118.746,1,0.958,0
Timor-Leste,South-East Asia,23301,1767.309,1,0.076,0,138,10.467,0,0,0
Micronesia (Federated States of),Western Pacific,22203,19303.096,0,0,0,55,47.817,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
San Marino,Europe,21584,63598.326,110,324.12,0,119,350.639,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Liechtenstein,Europe,20579,53111.209,24,61.94,0,85,219.372,0,0,0
Gibraltar,Europe,20121,59722.181,0,0,0,108,320.56,0,0,0
Grenada,Americas,19591,17410.663,0,0,0,237,210.624,0,0,0
Bermuda,Americas,18340,29450.966,0,0,0,148,237.663,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,17074,1216.977,18,1.283,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15946,8036.731,0,0,0,29,14.616,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15375,25973.916,0,0,0,17,28.719,0,0,0
Central African Republic,Africa,15259,315.937,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,15166,228.936,21,0.317,0,245,3.698,0,0,0
Monaco,Europe,14948,38089.899,55,140.149,0,65,165.63,1,2.548,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,0,0,0,40,69.496,0,0,0
Gambia,Africa,12580,520.551,138,5.71,17,372,15.393,0,0,0
Saint Martin,Americas,12026,31107.892,34,87.948,0,46,118.989,0,0,0
Vanuatu,Western Pacific,11981,3900.763,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11939,40.029,0,0,0,2158,7.235,0,0,0
Sint Maarten,Americas,10922,25469.894,14,32.648,0,88,205.214,1,2.332,0
Eritrea,Africa,10188,287.276,3,0.085,0,103,2.904,0,0,0
Bonaire,Americas,9516,45498.446,17,81.281,0,31,148.219,0,0,0
Saint Vincent and the Grenadines,Americas,9457,8524.428,0,0,0,116,104.561,0,0,0
Niger,Africa,9428,38.948,3,0.012,0,314,1.297,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
Comoros,Africa,8762,1007.589,37,4.255,0,160,18.399,0,0,0
American Samoa,Western Pacific,8257,14959.146,0,0,0,34,61.598,0,0,0
Liberia,Africa,7996,158.096,3,0.059,0,294,5.813,0,0,0
Sierra Leone,Africa,7754,97.205,0,0,0,125,1.567,0,0,0
Chad,Africa,7620,46.39,7,0.043,0,194,1.181,1,0.006,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6548,12310.122,0,0,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6429,16604.68,49,126.556,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6266,2859.111,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5513,30472.032,0,0,0,7,38.691,0,0,0
Saint Barthélemy,Americas,5323,53849.267,21,212.443,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3226,55668.68,0,0,0,1,17.256,0,0,0
Saint Helena,Africa,2045,33684.731,13,214.133,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1930,55412.001,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1202,38292.45,6,191.144,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,732,37868.598,0,0,0,2,103.466,0,0,0
Niue,Western Pacific,85,5253.399,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,23,195.047,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
